#
#
#  Percent Identity  Matrix - created by Clustal2.1
#
#
     1: gi|19112638|ref|NP_595846.1|      100.00   42.24   52.67   45.51   46.31   45.61   49.32   48.67   48.00   48.00
     2: gi|17506225|ref|NP_492207.1|       42.24  100.00   46.24   44.20   45.79   51.81   50.55   49.82   50.55   50.18
     3: gi|6324639|ref|NP_014708.1|        52.67   46.24  100.00   47.99   49.49   52.20   53.40   51.52   51.52   52.19
     4: gi|15232125|ref|NP_189360.1|       45.51   44.20   47.99  100.00   84.87   46.98   51.84   50.98   52.29   51.63
     5: gi|115463073|ref|NP_001055136.1|   46.31   45.79   49.49   84.87  100.00   46.78   51.69   50.83   52.15   51.49
     6: gi|386770629|ref|NP_001246637.1|   45.61   51.81   52.20   46.98   46.78  100.00   60.93   57.19   60.13   60.13
     7: gi|82658182|ref|NP_001032470.1|    49.32   50.55   53.40   51.84   51.69   60.93  100.00   72.31   73.62   72.96
     8: gi|21359867|ref|NP_001907.2|       48.67   49.82   51.52   50.98   50.83   57.19   72.31  100.00   90.77   90.46
     9: gi|13385006|ref|NP_079843.1|       48.00   50.55   51.52   52.29   52.15   60.13   73.62   90.77  100.00   97.85
    10: gi|469469043|ref|NP_001264123.1|   48.00   50.18   52.19   51.63   51.49   60.13   72.96   90.46   97.85  100.00
