92	13	32	0.1413	0.3478	
99	25	41	0.2525	0.4141	
435	115	234	0.2644	0.5379	
603	105	252	0.1741	0.4179	
385	31	70	0.0805	0.1818	
49	35	43	0.7143	0.8776	
128	18	31	0.1406	0.2422	
275	19	50	0.0691	0.1818	
372	76	139	0.2043	0.3737	
197	30	67	0.1523	0.3401	
311	45	91	0.1447	0.2926	
540	133	259	0.2463	0.4796	
505	113	207	0.2238	0.4099	
411	85	166	0.2068	0.4039	
263	15	45	0.057	0.1711	
547	64	120	0.117	0.2194	
76	16	24	0.2105	0.3158	
425	46	86	0.1082	0.2024	
244	27	49	0.1107	0.2008	
66	14	23	0.2121	0.3485	
500	46	89	0.092	0.178	
69	12	17	0.1739	0.2464	
182	57	89	0.3132	0.489	
193	34	80	0.1762	0.4145	
1047	132	265	0.1261	0.2531	
258	33	64	0.1279	0.2481	
464	116	189	0.25	0.4073	
211	37	74	0.1754	0.3507	
283	38	77	0.1343	0.2721	
90	16	33	0.1778	0.3667	
324	49	105	0.1512	0.3241	
474	61	126	0.1287	0.2658	
329	55	109	0.1672	0.3313	
338	71	127	0.2101	0.3757	
348	74	135	0.2126	0.3879	
230	33	87	0.1435	0.3783	
344	79	140	0.2297	0.407	
170	72	85	0.4235	0.5	
150	25	35	0.1667	0.2333	
238	24	41	0.1008	0.1723	
60	14	24	0.2333	0.4	
408	44	75	0.1078	0.1838	
430	37	77	0.086	0.1791	
475	89	174	0.1874	0.3663	
108	12	17	0.1111	0.1574	
293	43	89	0.1468	0.3038	
410	42	81	0.1024	0.1976	
451	41	91	0.0909	0.2018	
298	46	80	0.1544	0.2685	
95	16	25	0.1684	0.2632	
619	133	273	0.2149	0.441	
470	127	218	0.2702	0.4638	
434	101	213	0.2327	0.4908	
728	142	325	0.1951	0.4464	
137	41	73	0.2993	0.5328	
662	97	200	0.1465	0.3021	
109	22	40	0.2018	0.367	
328	181	211	0.5518	0.6433	
382	53	114	0.1387	0.2984	
80	14	24	0.175	0.3	
259	52	92	0.2008	0.3552	
54	29	29	0.537	0.537	
157	53	81	0.3376	0.5159	
571	108	229	0.1891	0.4011	
518	92	166	0.1776	0.3205	
24	3	3	0.125	0.125	
306	53	105	0.1732	0.3431	
210	35	80	0.1667	0.381	
100	28	36	0.28	0.36	
